code,close,vol,date
=0050,64.4,70816.194,2025-12-26
=0051,91.2,36.754,2025-12-26
=0052,36.89,26413.506,2025-12-26
=0053,138.15,23.106,2025-12-26
=0055,32.01,251.588,2025-12-26
=0056,36.61,32736.86,2025-12-26
=0057,188.6,26.268,2025-12-26
=0061,23.1,329.993,2025-12-26
=006203,116.6,4.379,2025-12-26
=006204,144.75,3.063,2025-12-26
=006205,39.58,767.413,2025-12-26
=006206,37.2,102.257,2025-12-26
=006207,30.9,249.941,2025-12-26
=006208,147.55,7322.945,2025-12-26
=00625K,0.0,0.0,2025-12-26
=00631L,354.75,3255.999,2025-12-26
=00632R,16.65,40766.822,2025-12-26
=00633L,50.7,4234.028,2025-12-26
=00634R,3.2,1116.0,2025-12-26
=00635U,48.45,4121.401,2025-12-26
=00636,27.16,871.104,2025-12-26
=00636K,8.68,0.2,2025-12-26
=00637L,20.81,43526.958,2025-12-26
=00638R,6.81,645.01,2025-12-26
=00639,15.3,905.846,2025-12-26
=00640L,77.75,300.467,2025-12-26
=00641R,4.56,1787.881,2025-12-26
=00642U,15.3,4709.324,2025-12-26
=00643,17.05,3795.513,2025-12-26
=00643K,3.83,3.0,2025-12-26
=00645,47.77,228.599,2025-12-26
=00646,68.4,6527.438,2025-12-26
=00647L,119.05,81.741,2025-12-26
=00648R,4.32,543.469,2025-12-26
=00650L,17.9,3161.298,2025-12-26
=00651R,5.29,28.0,2025-12-26
=00652,37.42,203.352,2025-12-26
=00653L,58.4,96.842,2025-12-26
=00654R,0.0,0.04,2025-12-26
=00655L,35.38,1086.109,2025-12-26
=00656R,6.0,209.02,2025-12-26
=00657,59.7,81.159,2025-12-26
=00657K,19.05,0.2,2025-12-26
=00660,41.85,9.339,2025-12-26
=00661,65.3,119.781,2025-12-26
=00662,103.75,1942.662,2025-12-26
=00663L,46.36,8526.777,2025-12-26
=00664R,2.68,11739.839,2025-12-26
=00665L,10.85,5953.403,2025-12-26
=00666R,8.83,8.0,2025-12-26
=00668,55.95,20.901,2025-12-26
=00668K,17.8,0.2,2025-12-26
=00669R,5.65,435.233,2025-12-26
=00670L,166.25,875.983,2025-12-26
=00671R,2.83,2938.96,2025-12-26
=00673R,28.14,2444.02,2025-12-26
=00674R,5.66,718.417,2025-12-26
=00675L,140.8,2941.527,2025-12-26
=00676R,9.16,2365.046,2025-12-26
=00678,35.42,252.501,2025-12-26
=00680L,7.28,18472.637,2025-12-26
=00681R,20.74,10.05,2025-12-26
=00682U,0.0,0.002,2025-12-26
=00683L,20.56,23.248,2025-12-26
=00684R,15.7,18.1,2025-12-26
=00685L,126.5,819.936,2025-12-26
=00686R,1.64,2792.589,2025-12-26
=00688L,7.27,4875.524,2025-12-26
=00689R,21.54,5.0,2025-12-26
=00690,44.04,468.368,2025-12-26
=00692,56.65,1293.667,2025-12-26
=00693U,20.63,1191.12,2025-12-26
=00700,18.28,385.62,2025-12-26
=00701,29.3,1227.891,2025-12-26
=00702,23.32,11.47,2025-12-26
=00703,21.59,15.555,2025-12-26
=00706L,20.64,1447.459,2025-12-26
=00707R,31.2,2.0,2025-12-26
=00708L,98.6,4412.788,2025-12-26
=00709,36.99,91.7,2025-12-26
=00710B,18.95,200.123,2025-12-26
=00711B,16.34,104.412,2025-12-26
=00712,9.18,14673.587,2025-12-26
=00713,50.95,7472.077,2025-12-26
=00714,20.04,234.556,2025-12-26
=00715L,20.08,20610.929,2025-12-26
=00717,15.07,58.891,2025-12-26
=00728,36.71,72.69,2025-12-26
=00730,23.3,153.908,2025-12-26
=00731,69.5,845.845,2025-12-26
=00733,46.02,1145.035,2025-12-26
=00735,51.6,850.633,2025-12-26
=00736,27.92,105.137,2025-12-26
=00737,36.13,183.736,2025-12-26
=00738U,61.75,17784.885,2025-12-26
=00739,26.55,96.582,2025-12-26
=00752,26.11,597.864,2025-12-26
=00753L,12.36,6480.921,2025-12-26
=00757,119.55,3470.498,2025-12-26
=00762,83.85,727.937,2025-12-26
=00763U,31.57,4234.758,2025-12-26
=00770,58.55,310.095,2025-12-26
=00771,16.08,13.044,2025-12-26
=00775B,32.8,1.015,2025-12-26
=00783,25.58,95.907,2025-12-26
=00830,58.85,7923.469,2025-12-26
=00850,54.7,470.949,2025-12-26
=00851,56.3,16.187,2025-12-26
=00852L,31.3,33.165,2025-12-26
=00861,55.65,168.763,2025-12-26
=00865B,47.17,1865.086,2025-12-26
=00875,39.16,17.775,2025-12-26
=00876,51.7,325.648,2025-12-26
=00878,21.57,29157.524,2025-12-26
=00881,32.22,7148.841,2025-12-26
=00882,15.3,4036.605,2025-12-26
=00885,17.16,21262.523,2025-12-26
=00891,19.48,6750.16,2025-12-26
=00892,21.65,703.366,2025-12-26
=00893,33.05,1541.089,2025-12-26
=00894,27.18,1463.091,2025-12-26
=00895,39.6,629.829,2025-12-26
=00896,18.85,2486.89,2025-12-26
=00897,8.95,734.115,2025-12-26
=00898,8.01,533.654,2025-12-26
=00899,20.39,122.213,2025-12-26
=00900,13.79,23399.288,2025-12-26
=00901,24.59,493.624,2025-12-26
=00902,13.4,5545.24,2025-12-26
=00903,17.68,47.682,2025-12-26
=00904,22.61,1407.799,2025-12-26
=00905,17.17,1523.636,2025-12-26
=00907,15.31,684.237,2025-12-26
=00908,13.82,413.711,2025-12-26
=00909,40.56,3074.71,2025-12-26
=00910,44.5,1458.05,2025-12-26
=00911,33.49,478.099,2025-12-26
=00912,21.37,177.119,2025-12-26
=00913,24.56,381.291,2025-12-26
=00915,22.9,3805.956,2025-12-26
=00916,27.6,499.597,2025-12-26
=00917,25.81,145.344,2025-12-26
=00918,22.48,10936.511,2025-12-26
=00919,22.48,41987.193,2025-12-26
=00920,18.33,168.486,2025-12-26
=00921,17.52,239.344,2025-12-26
=00922,25.48,11098.317,2025-12-26
=00923,25.6,2583.757,2025-12-26
=00924,29.51,2101.869,2025-12-26
=00926,23.41,750.361,2025-12-26
=00927,21.19,3143.391,2025-12-26
=00929,17.89,11425.512,2025-12-26
=00930,17.26,543.961,2025-12-26
=00932,14.19,447.523,2025-12-26
=00934,20.52,1648.29,2025-12-26
=00935,29.68,1970.161,2025-12-26
=00936,15.97,1407.145,2025-12-26
=00938,17.3,279.121,2025-12-26
=00939,14.65,7869.698,2025-12-26
=00940,9.25,21528.209,2025-12-26
=00941,17.48,3640.801,2025-12-26
=00943,14.28,56.322,2025-12-26
=00944,14.5,765.754,2025-12-26
=00945B,14.51,2993.457,2025-12-26
=00946,9.61,5881.249,2025-12-26
=00947,18.18,933.762,2025-12-26
=00949,18.38,911.467,2025-12-26
=00951,11.48,2182.341,2025-12-26
=00952,11.75,798.868,2025-12-26
=00953B,9.74,22080.003,2025-12-26
=00954,12.28,1361.368,2025-12-26
=00956,11.44,436.192,2025-12-26
=00960,14.37,1563.816,2025-12-26
=00961,9.4,2505.947,2025-12-26
=00962,10.64,286.61,2025-12-26
=00963,11.43,384.603,2025-12-26
=00964,11.5,1415.506,2025-12-26
=00965,22.94,5220.277,2025-12-26
=00971,16.23,708.423,2025-12-26
=00972,18.01,64.535,2025-12-26
=009800,11.22,1504.719,2025-12-26
=009801,11.32,953.836,2025-12-26
=009802,11.13,3757.133,2025-12-26
=009803,12.79,2258.414,2025-12-26
=009804,14.5,856.067,2025-12-26
=009805,12.58,3993.574,2025-12-26
=009808,19.51,457.164,2025-12-26
=009809,10.54,2311.761,2025-12-26
=00980A,15.13,10960.21,2025-12-26
=009810,18.69,307.899,2025-12-26
=009811,11.87,4019.884,2025-12-26
=009812,10.68,1843.865,2025-12-26
=009813,10.68,7205.416,2025-12-26
=00981A,16.75,101602.752,2025-12-26
=00981T,10.59,2414.271,2025-12-26
=00982A,14.34,61278.711,2025-12-26
=00982D,10.16,3036.809,2025-12-26
=00982T,10.07,26217.424,2025-12-26
=00983A,12.24,4490.218,2025-12-26
=00983D,10.26,1342.542,2025-12-26
=00984A,10.95,5477.905,2025-12-26
